"","","","","","","","","","","","",""
"TABLE 1","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"NO . STA","04.13.A3.001.0011","","","","","","","","","","",""
"KOORDINAT :","0 ° 13 ' 41.2 "" LS 115 ° 41 ' 27.1 "" BT","","","","","","","","","","",""
"ELEVASI :","174.198 MDPL","","","","","","","","","","",""
"DIBANGUN OLEH :","PBPS","","","","","","","","","","",""
"TAHUN PENDIRIAN :","2006","","","","","","","","","","",""
"JENIS POS :","MANUAL","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"TABLE 2","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"TGL","","","","","","Tinggi
(","Hujan
mm )","","","","",""
"","JAN","PEB","MAR","APR","MEI","JUNI","JULI","AGS","SEP","OKT","NOP","DES"
"1","","","","20,20","","","","","","28,80","","26,20"
"2","32,60","","","","20,50","10,20","15,20","","","10,20","",""
"3","","10,20","","","","","20,30","","","","",""
"4","","","8,20","60,40","","","","","","","",""
"5","28,50","56,20","","40,10","","","30,50","","","","20,30",""
"6","","","","50,00","27,10","","","","","","","20,10"
"7","","6,10","","","","26,60","","","","","",""
"8","","110,50","20,30","","","","","","","","40,50","45,50"
"9","8,20","","","58,50","","","","","","25,20","","30,10"
"10","","","60,20","","43,20","","","","","","","10,40"
"11","47,30","","10,00","","","28,30","","","","8,30","","70,00"
"12","10,10","","","30,10","","","34,30","","","","","14,20"
"13","","","50,50","","","","","","","44,50","45,20",""
"14","","","","30,50","","40,40","","","","","35,20",""
"15","","","6,20","","","","","","","","",""
"16","20,20","","","40,00","30,50","","","","","","","30,40"
"17","20,50","","","","","30,10","","","","10,30","","65,50"
"18","","","30,10","","","","","","","","",""
"19","","","","","","25,50","","","","8,20","","21,10"
"20","10,00","","","60,20","","","","","","","","10,30"
"21","","","","","20,20","","","","","","",""
"22","40,20","","","","","","","10,20","","","",""
"23","","","12,40","","","21,20","","","","","15,50","15,20"
"24","15,10","","25,50","","","","","54,60","","","",""
"25","","10,20","80,50","","","","","","","","",""
"26","20,30","","40,20","","","","","5,10","","15,20","",""
"27","","","","82,40","10,10","","","","40,50","22,50","68,00","8,30"
"28","30,00","","","74,20","","15,50","","","15,50","","44,30","12,30"
"* 29","","","","","","","","","","","","15,20"
"30","10,50","","21,50","","","","","","20,20","","43,50",""
"31","","","","","41,30","","40,40","","","20,40","",""
"Hujan Maksimum","47,30","110,50","80,50","82,40","43,20","40,40","40,40","54,60","40,50","44,50","68,00","70,00"
"Jumlah Curah Hujan","293,50","193,20","365,60","546,60","192,90","197,80","140,70","69,90","76,20","193,60","312,50","394,80"
"Jumlah Hari Hujan","13","5","12","11","7","8","5","3","3","10","8","15"
"Jumlah Data ( 1-15 )","5","4","6","7","3","4","4","0","0","5","4","7"
"Jumlah Hujan ( 1 - 15 )","126,70","183,00","155,40","289,80","90,80","105,50","100,30","0,00","0,00","117,00","141,20","216,50"
"Jumlah Data ( 16-31 )","8","1","6","4","4","4","1","3","3","5","4","8"
"Jumlah Hujan ( 16 - 31 )","166,80","10,20","210,20","256,80","102,10","92,30","40,40","69,90","76,20","76,60","171,30","178,30"
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"TABLE 3","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"WILAYAH SUNGAI","MAHAKAM","","","","","","","","","","",""
"DAS / SUB DAS","MAHAKAM","","","","","","","","","","",""
"SUNGAI :","MAHAKAM","","","","","","","","","","",""
"KELURAHAN / DESA","BARONG TONGKOK","","","","","","","","","","",""
"KECAMATAN :","BARONG TONGKOK","","","","","","","","","","",""
"KAB / KOTA , PROVINSI :","KUTAI BARAT , KALIMANTAN TIMUR","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"TABLE 4","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"WILAYAH SUNGAI","MAHAKAM","","","","","","","","","","",""
"DAS / SUB DAS","MAHAKAM","","","","","","","","","","",""
"SUNGAI :","MAHAKAM","","","","","","","","","","",""
"KELURAHAN / DESA","BARONG TONGKOK","","","","","","","","","","",""
"KECAMATAN :","BARONG TONGKOK","","","","","","","","","","",""
"KAB / KOTA , PROVINSI :","KUTAI BARAT , KALIMANTAN TIMUR","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"TABLE 5","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"NO . STA","04.13.A3.001.0011","","","","","","","","","","",""
"KOORDINAT :","0 ° 13 ' 41.2 "" LS 115 ° 41 ' 27.1 "" BT","","","","","","","","","","",""
"ELEVASI :","174.198 MDPL","","","","","","","","","","",""
"DIBANGUN OLEH :","PBPS","","","","","","","","","","",""
"TAHUN PENDIRIAN :","2006","","","","","","","","","","",""
"JENIS POS :","MANUAL","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"TABLE 6","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"TGL","","","","","","Tinggi
(","Hujan
mm )","","","","",""
"","JAN","PEB","MAR","APR","MEI","JUNI","JULI","AGS","SEP","OKT","NOP","DES"
"1","30,80","32,00","","","38,50","","","3,90","29,20","7,70","27,50",""
"2","2,10","2,50","","10,40","0,20","","","2,70","2,40","","","28,00"
"3","","","39,20","","21,00","","49,00","","","","","11,20"
"4","32,10","1,90","","","","","9,20","","","","",""
"5","","10,60","","83,30","","12,50","2,70","","0,80","","","6,10"
"6","8,20","16,50","1,00","","","","1,70","","","12,80","",""
"7","","2,60","4,00","7,60","","","","","","3,00","6,80",""
"8","","61,10","0,70","","6,10","6,60","","","","","","17,90"
"9","","","27,80","3,20","","","","","","","11,00",""
"10","5,60","1,50","","","2,90","","","","3,10","","29,30",""
"11","22,20","11,70","","4,00","","","","","","","48,00","0,60"
"12","","13,50","","","11,50","","","","","","","6,90"
"13","4,50","0,80","","2,30","","25,40","","","","4,20","11,84","79,30"
"14","4,10","1,70","","2,50","1,00","12,00","","","","0,80","0,70","26,30"
"15","","42,60","2,00","2,70","","","36,10","","","","35,90","22,00"
"16","14,10","","","","","10,00","","1,90","","","18,60","0,70"
"17","","","29,40","69,10","","","","","1,20","","27,40","30,00"
"18","","36,70","","","","10,50","","","","","2,10","19,40"
"19","","2,90","0,80","","57,60","26,70","","0,80","","","3,70","11,40"
"20","35,50","","","","","4,50","","","","33,00","47,10","12,10"
"21","19,10","4,40","33,60","","","","","","","74,60","21,80","9,20"
"22","2,50","","","","","","","","","","",""
"23","17,30","","1,20","","","1,20","","49,40","","","33,80",""
"24","","9,90","12,50","","0,80","","","","3,20","","",""
"25","34,50","18,00","21,90","","7,70","","28,80","3,70","43,40","","28,00","3,70"
"26","0,90","","1,60","6,00","","25,30","","2,30","","","","29,50"
"27","","10,00","","","0,20","","","","","","",""
"28","","1,70","","67,00","0,50","2,30","48,30","","","0,40","",""
"* 29","81,20","","","","2,40","1,30","1,60","30,70","7,80","25,50","",""
"30","16,60","","2,20","22,00","12,70","","7,30","","","2,80","",""
"31","","","","","","","8,30","","16,70","0,80","",""
"Hujan Maksimum","81,20","61,10","39,20","83,30","57,60","26,70","49,00","49,40","43,40","74,60","48,00","79,30"
"Jumlah Curah Hujan","331,30","282,60","177,90","280,10","163,10","138,30","193,00","95,40","107,80","165,60","353,54","314,30"
"Jumlah Hari Hujan","17","20","14","12","14","12","10","8","9","11","16","17"
"Jumlah Data ( 1-15 )","8","13","6","8","7","4","5","2","4","5","8","9"
"Jumlah Hujan ( 1 - 15 )","109,60","199,00","74,70","116,00","81,20","56,50","98,70","6,60","35,50","28,50","171,04","198,30"
"Jumlah Data ( 16-31 )","9","7","8","4","7","8","5","6","5","6","8","8"
"Jumlah Hujan ( 16 - 31 )","221,70","83,60","103,20","164,10","81,90","81,80","94,30","88,80","72,30","137,10","182,50","116,00"
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"TABLE 7","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"WILAYAH SUNGAI","MAHAKAM","","","","","","","","","","",""
"DAS / SUB DAS","MAHAKAM","","","","","","","","","","",""
"SUNGAI :","MAHAKAM","","","","","","","","","","",""
"KELURAHAN / DESA","BARONG TONGKOK","","","","","","","","","","",""
"KECAMATAN :","BARONG TONGKOK","","","","","","","","","","",""
"KAB / KOTA , PROVINSI :","KUTAI BARAT , KALIMANTAN TIMUR","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"TABLE 8","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"NO . STA","04.13.A3.001.0011","","","","","","","","","","",""
"KOORDINAT :","0 ° 13 ' 41.2 "" LS 115 ° 41 ' 27.1 "" BT","","","","","","","","","","",""
"ELEVASI :","174.198 MDPL","","","","","","","","","","",""
"DIBANGUN OLEH :","PBPS","","","","","","","","","","",""
"TAHUN PENDIRIAN :","2006","","","","","","","","","","",""
"JENIS POS :","MANUAL","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"TABLE 9","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"TGL","","","","","","Tinggi
(","Hujan
mm )","","","","",""
"","JAN","PEB","MAR","APR","MEI","JUNI","JULI","AGS","SEP","OKT","NOP","DES"
"1","31,60","","9,70","","","","","","","","1,50",""
"2","","","3,30","26,00","60,40","","","8,70","","","20,00","18,40"
"3","13,20","22,80","","26,00","","","","","","","39,00","7,00"
"4","","","3,20","","","","","","","","22,20","11,30"
"5","","34,00","23,60","","","0,00","0,50","","","","25,20",""
"6","","","35,40","11,00","","","","","","","8,00","95,40"
"7","","","42,20","","28,10","","","","","","27,80","0,50"
"8","","","6,50","23,00","0,50","","36,00","","","","22,00",""
"9","","","","34,90","","","9,70","","","7,70","1,00",""
"10","","","5,50","34,90","","","17,20","","","44,80","",""
"11","","","3,20","21,00","","","","","","10,80","18,30",""
"12","","","8,40","","4,00","","","2,00","","4,50","32,30",""
"13","","","11,50","","","","","","","","79,00","3,00"
"14","","","","","","","34,80","","","","0,80","27,00"
"15","","","","0,50","","","2,50","14,40","","","",""
"16","","","1,00","1,00","17,20","","14,40","24,70","","15,70","25,40",""
"17","","","","27,40","5,00","","","2,10","","","","12,70"
"18","","1,60","","","0,50","","22,80","","0,00","1,50","7,20",""
"19","","2,00","","10,70","","","","","","","42,80","1,70"
"20","10,60","19,70","5,30","","13,60","","","","","","18,10","2,20"
"21","8,50","1,30","41,00","","","","","11,80","","","3,40",""
"22","16,30","","","0,50","7,80","","","","","","",""
"23","16,40","20,00","","5,00","","","","11,40","","","9,20","21,90"
"24","","22,80","","","2,00","","","","","","","30,20"
"25","","34,00","","38,00","","","","","","","0,70",""
"26","","1,00","36,50","1,50","12,70","","","","","1,20","25,30","6,00"
"27","14,70","","","","23,00","","","","","","","35,70"
"28","","","","9,20","3,50","","13,90","","","","11,50",""
"* 29","","","","","15,40","","","","","","6,90","1,00"
"30","","","4,70","","","","","","","5,60","95,40","2,70"
"31","","","","","","","","","","10,40","",""
"Hujan Maksimum","31,60","34,00","42,20","38,00","60,40","0,00","36,00","24,70","0,00","44,80","95,40","95,40"
"Jumlah Curah Hujan","111,30","159,20","241,00","270,60","193,70","0,00","151,80","75,10","0,00","102,20","543,00","276,70"
"Jumlah Hari Hujan","7","10","16","16","14","1","9","7","1","9","24","16"
"Jumlah Data ( 1-15 )","2","2","11","8","4","1","6","3","0","4","13","7"
"Jumlah Hujan ( 1 - 15 )","44,80","56,80","152,50","177,30","93,00","0,00","100,70","25,10","0,00","67,80","297,10","162,60"
"Jumlah Data ( 16-31 )","5","8","5","8","10","0","3","4","1","5","11","9"
"Jumlah Hujan ( 16 - 31 )","66,50","102,40","88,50","93,30","100,70","0,00","51,10","50,00","0,00","34,40","245,90","114,10"
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"TABLE 10","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"WILAYAH SUNGAI","MAHAKAM","","","","","","","","","","",""
"DAS / SUB DAS","MAHAKAM","","","","","","","","","","",""
"SUNGAI :","MAHAKAM","","","","","","","","","","",""
"KELURAHAN / DESA","BARONG TONGKOK","","","","","","","","","","",""
"KECAMATAN :","BARONG TONGKOK","","","","","","","","","","",""
"KAB / KOTA , PROVINSI :","KUTAI BARAT , KALIMANTAN TIMUR","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"TABLE 11","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"NO . STA","04.13.A3.001.0011","","","","","","","","","","",""
"KOORDINAT :","0 ° 13 ' 41.2 "" LS 115 ° 41 ' 27.1 "" BT","","","","","","","","","","",""
"ELEVASI :","174.198 MDPL","","","","","","","","","","",""
"DIBANGUN OLEH :","PBPS","","","","","","","","","","",""
"TAHUN PENDIRIAN :","2006","","","","","","","","","","",""
"JENIS POS :","MANUAL","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"TABLE 12","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"TGL","","","","","","Tinggi
(","Hujan
mm )","","","","",""
"","JAN","PEB","MAR","APR","MEI","JUNI","JULI","AGS","SEP","OKT","NOP","DES"
"1","31,80","","","","","","","","","","20,30",""
"2","","","","","","","","","","","","9,00"
"3","","28,60","","","48,20","","","","","","",""
"4","","","","48,00","","","","","","24,00","",""
"5","","3,80","104,00","","46,40","46,50","68,50","","15,70","","",""
"6","","5,10","","","","","","","","","",""
"7","","","","","","","","","","","",""
"8","96,60","","","52,20","","","2,00","","","55,50","80,40",""
"9","","","","","50,00","","","","","","","5,80"
"10","","","","6,40","","41,20","","","23,30","","",""
"11","","62,40","","","","","","","","","",""
"12","","","24,20","","","","","","","","","21,50"
"13","","","","","45,50","","","","","","135,00","31,60"
"14","","18,00","103,50","","","","","","","80,20","",""
"15","","33,30","","67,10","","","","","","","",""
"16","","49,50","","","","","","","","","","66,50"
"17","","30,00","","","","35,40","","30,50","","","",""
"18","21,30","","","","120,40","","","","10,20","","20,70","55,50"
"19","","","","","","","105,30","","","","",""
"20","24,40","","98,90","","50,00","","","10,30","","7,40","",""
"21","","","","","","","","","","","35,60","16,70"
"22","","","23,00","","70,30","","50,60","","","","",""
"23","","50,00","","","54,50","","","","","","",""
"24","","20,00","","","","0,50","","","","","24,70",""
"25","","","88,30","","","","","","21,40","","62,80","15,60"
"26","","9,90","","","","","55,40","","","","",""
"27","","","","34,40","25,50","","","23,40","","","",""
"28","","36,10","","","","","","","","","",""
"29","","","","","","","","","","74,80","1,50","20,20"
"30","11,00","","","","","","26,40","33,20","8,10","42,50","10,80",""
"31","","","","","","","","","","88,10","",""
"Hujan Maksimum","96,60","62,40","104,00","67,10","120,40","46,50","105,30","33,20","23,30","88,10","135,00","66,50"
"Jumlah Curah Hujan","185,10","346,70","441,90","208,10","510,80","123,60","308,20","97,40","78,70","372,50","391,80","242,40"
"Jumlah Hari Hujan","5","12","6","5","9","4","6","4","5","7","9","9"
"Jumlah Data ( 1-15 )","2","6","3","4","4","2","2","0","2","3","3","4"
"Jumlah Hujan ( 1 - 15 )","128,40","151,20","231,70","173,70","190,10","87,70","70,50","0,00","39,00","159,70","235,70","67,90"
"Jumlah Data ( 16-31 )","3","6","3","1","5","2","4","4","3","4","( )","5 LO"
"Jumlah Hujan ( 16 - 31 )","56,70","195,50","210,20","34,40","320,70","35,90","237,70","97,40","39,70","212,80","156,10","174,50"
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"TABLE 13","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"WILAYAH SUNGAI","MAHAKAM","","","","","","","","","","",""
"DAS / SUB DAS","MAHAKAM","","","","","","","","","","",""
"SUNGAI :","MAHAKAM","","","","","","","","","","",""
"KELURAHAN / DESA","BARONG TONGKOK","","","","","","","","","","",""
"KECAMATAN :","BARONG TONGKOK","","","","","","","","","","",""
"KAB / KOTA , PROVINSI :","KUTAI BARAT , KALIMANTAN TIMUR","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"TABLE 14","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"NO . STA","04.13.A3.001.0011","","","","","","","","","","",""
"KOORDINAT :","0 ° 13 ' 41.2 "" LS 115 ° 41 ' 27.1 "" BT","","","","","","","","","","",""
"ELEVASI :","174.198 MDPL","","","","","","","","","","",""
"DIBANGUN OLEH :","PBPS","","","","","","","","","","",""
"TAHUN PENDIRIAN :","2006","","","","","","","","","","",""
"JENIS POS :","MANUAL","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"TABLE 15","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"TGL","","","","","","Tinggi
(","Hujan
mm )","","","","",""
"","JAN","PEB","MAR","APR","MEI","JUNI","JULI","AGS","SEP","OKT","NOP","DES"
"1","","","","","","","","","","","",""
"2","","","","","","","","","","","",""
"3","","","","","","","","","","","",""
"4","","","","","","","","","","","",""
"5","","","","","","","","","","","",""
"6","","","","","","","","","","","21,00",""
"7","","","","","","","","","","","",""
"8","","","","","","","","","","","",""
"9","","","","","","","","","","","3,70",""
"10","","","","","","","","","","7,30","7,90",""
"11","","","","","","","","","","","",""
"12","","","","","","","","5,50","69,50","3,50","14,90",""
"13","","","","","","","","","12,90","","",""
"14","","","","","","","","","","","",""
"15","","","","","","","","","","","17,70",""
"16","","","","","","","","","","","",""
"17","","","","","","","","","","","",""
"18","","","","","","","","","","","",""
"19","","","","","","","","","","","",""
"20","","","","","","","","","","","",""
"21","","","","","","","","","","","",""
"22","","","","","","","","","","","",""
"23","","","","","","","","","","","",""
"24","","","","","","","","","","","",""
"25","","","","","","","","","5,80","","",""
"~ 26","","","","","","","","","","","",""
"N 27","","","","","","","","","","","",""
"~ 28","","","","","","","","","","","",""
"A 29","","","","","","","","","","","",""
"30","","","","","","","","","","","",""
"31","","","","","","","","55,50","","12,40","",""
"Hujan Maksimum","0,00","0,00","0,00","0,00","0,00","0,00","0,00","55,50","69,50","12,40","21,00","0,00"
"Jumlah Curah Hujan","0,00","0,00","0,00","0,00","0,00","0,00","0,00","61,00","88,20","23,20","65,20","0,00"
"Jumlah Hari Hujan","0","0","0","0","0","0","0","2","3","3","5","0"
"Jumlah Data ( 1-15 )","0","0","0","0","0","0","0","1","2","2","5","0"
"Jumlah Hujan ( 1 - 15 )","0,00","0,00","0,00","0,00","0,00","0,00","0,00","5,50","82,40","10,80","65,20","0,00"
"Jumlah Data ( 16-31 )","0","0","0","0","0","0","0","1","1","1","0","0"
"Jumlah Hujan ( 16 - 31 )","0,00","0,00","0,00","0,00","0,00","0,00","0,00","55,50","5,80","12,40","0,00","0,00"
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"TABLE 16","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"WILAYAH SUNGAI","MAHAKAM","","","","","","","","","","",""
